"Survey","nHost_1","nHost_2","nHost_3","nHost_4","nHost_5","nHost_6","nHost_7","nHost_8","nInfect_1","nInfect_2","nInfect_3","nInfect_4","nInfect_5","nInfect_6","nInfect_7","nInfect_8","nExpectd_1","nExpectd_2","nExpectd_3","nExpectd_4","nExpectd_5","nExpectd_6","nExpectd_7","nExpectd_8","nPatent_1","nPatent_2","nPatent_3","nPatent_4","nPatent_5","nPatent_6","nPatent_7","nPatent_8","nTransmit","nTreatments1_1","nTreatments1_2","nTreatments1_3","nTreatments1_4","nTreatments1_5","nTreatments1_6","nTreatments1_7","nTreatments1_8","nUncomp_1","nUncomp_2","nUncomp_3","nUncomp_4","nUncomp_5","nUncomp_6","nUncomp_7","nUncomp_8","nEPIVaccinations_1","nEPIVaccinations_2","nEPIVaccinations_3","nEPIVaccinations_4","nEPIVaccinations_5","nEPIVaccinations_6","nEPIVaccinations_7","nEPIVaccinations_8","nMassVaccinations_1","nMassVaccinations_2","nMassVaccinations_3","nMassVaccinations_4","nMassVaccinations_5","nMassVaccinations_6","nMassVaccinations_7","nMassVaccinations_8","innoculationsPerAgeGroup_S1","innoculationsPerAgeGroup_R1","innoculationsPerAgeGroup_S2","innoculationsPerAgeGroup_R2","innoculationsPerAgeGroup_S3","innoculationsPerAgeGroup_R3","innoculationsPerAgeGroup_S4","innoculationsPerAgeGroup_R4","innoculationsPerAgeGroup_S5","innoculationsPerAgeGroup_R5","innoculationsPerAgeGroup_S6","innoculationsPerAgeGroup_R6","innoculationsPerAgeGroup_S7","innoculationsPerAgeGroup_R7","innoculationsPerAgeGroup_S8","innoculationsPerAgeGroup_R8","Vector_Nv","inputEIR","simulatedEIR","nMDAs_1","nMDAs_2","nMDAs_3","nMDAs_4","nMDAs_5","nMDAs_6","nMDAs_7","nMDAs_8","nTreatDiagnostics_1","nTreatDiagnostics_2","nTreatDiagnostics_3","nTreatDiagnostics_4","nTreatDiagnostics_5","nTreatDiagnostics_6","nTreatDiagnostics_7","nTreatDiagnostics_8","nInfectByGenotype_S1","nInfectByGenotype_R1","nInfectByGenotype_S2","nInfectByGenotype_R2","nInfectByGenotype_S3","nInfectByGenotype_R3","nInfectByGenotype_S4","nInfectByGenotype_R4","nInfectByGenotype_S5","nInfectByGenotype_R5","nInfectByGenotype_S6","nInfectByGenotype_R6","nInfectByGenotype_S7","nInfectByGenotype_R7","nInfectByGenotype_S8","nInfectByGenotype_R8","nPatentByGenotype_S1","nPatentByGenotype_R1","nPatentByGenotype_S2","nPatentByGenotype_R2","nPatentByGenotype_S3","nPatentByGenotype_R3","nPatentByGenotype_S4","nPatentByGenotype_R4","nPatentByGenotype_S5","nPatentByGenotype_R5","nPatentByGenotype_S6","nPatentByGenotype_R6","nPatentByGenotype_S7","nPatentByGenotype_R7","nPatentByGenotype_S8","nPatentByGenotype_R8","nHostDrugConcNonZero_A1","nHostDrugConcNonZero_B1","nHostDrugConcNonZero_A2","nHostDrugConcNonZero_B2","nHostDrugConcNonZero_A3","nHostDrugConcNonZero_B3","nHostDrugConcNonZero_A4","nHostDrugConcNonZero_B4","nHostDrugConcNonZero_A5","nHostDrugConcNonZero_B5","nHostDrugConcNonZero_A6","nHostDrugConcNonZero_B6","nHostDrugConcNonZero_A7","nHostDrugConcNonZero_B7","nHostDrugConcNonZero_A8","nHostDrugConcNonZero_B8","sumLogDrugConcNonZero_A1","sumLogDrugConcNonZero_B1","sumLogDrugConcNonZero_A2","sumLogDrugConcNonZero_B2","sumLogDrugConcNonZero_A3","sumLogDrugConcNonZero_B3","sumLogDrugConcNonZero_A4","sumLogDrugConcNonZero_B4","sumLogDrugConcNonZero_A5","sumLogDrugConcNonZero_B5","sumLogDrugConcNonZero_A6","sumLogDrugConcNonZero_B6","sumLogDrugConcNonZero_A7","sumLogDrugConcNonZero_B7","sumLogDrugConcNonZero_A8","sumLogDrugConcNonZero_B8","Incidence"
26,4785,49,1625,3230,3149,3077,2269,81816,106,8,286,490,425,447,349,24863,297.655,25.229,960.273,2466.02,2915.05,3013.14,2254.94,81809.5,44,5,81,98,66,70,43,2082,0.00178781,1,0,1,2,2,2,1,16,4,0,3,3,7,4,4,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44218,3.37281,0.0377778,0.0370164,1.33224,1.30539,3.07618,3.01418,3.46805,3.39816,3.7245,3.64944,2.96034,2.90068,223.112,218.616,4193270,0.00532556,0.00632827,0,0,0,0,0,0,0,0,1,0,1,2,2,2,1,16,50,58,7,3,155,153,257,262,247,204,239,230,183,185,13708,13746,10,18,2,0,24,29,30,31,27,19,31,23,12,15,693,692,2,10,0,0,2,5,2,14,2,14,1,9,0,16,48,262,-43.6146,-44.1305,0,0,-44.271,-18.9265,-63.4536,-49.9595,-43.6267,-60.8801,-11.8498,-39.3593,0,-78.6987,-998.686,-1000.41,1.37483501979762
27,4785,49,1625,3230,3148,3076,2271,81816,100,7,284,479,418,436,342,24454,277.491,24.3776,957.024,2456.27,2910.68,3011.15,2256.67,81809.4,43,0,77,91,67,72,41,2076,0.00182491,0,0,0,0,1,1,2,22,3,0,1,2,0,7,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14572,4.1489,0.0455086,0.0455435,1.60488,1.60611,3.70571,3.70856,4.17773,4.18094,4.48514,4.48858,3.56766,3.5704,268.777,268.983,5238170,0.00595985,0.00770383,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,22,48,54,4,3,155,153,250,258,244,195,234,221,183,177,13474,13472,15,16,0,1,22,29,33,36,26,18,32,22,12,16,696,697,2,9,0,0,2,5,2,14,3,14,3,10,1,14,43,252,-43.9425,-34.598,0,0,-44.3451,-13.9667,-23.6222,-42.9554,-55.6494,-54.6265,-55.4379,-36.9738,-11.7402,-66.0296,-1055.12,-991.325,0.76990761108667
28,4785,49,1626,3229,3148,3077,2270,81816,105,3,283,482,416,438,343,24081,260.151,23.4027,953.919,2446.29,2907.47,3011.2,2255.44,81809.3,46,0,74,102,69,80,43,2114,0.00181741,2,0,3,0,1,4,0,23,1,0,4,7,3,6,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05294,5.15764,0.0554674,0.0566167,1.95732,1.99788,4.51692,4.61051,5.08869,5.19413,5.46841,5.58171,4.34843,4.43853,327.594,334.382,6481900,0.00677244,0.00948334,0,0,0,0,0,0,0,0,2,0,3,0,1,4,0,23,49,58,1,2,153,153,253,260,243,196,230,224,183,175,13261,13226,17,23,0,0,23,29,32,36,27,21,34,24,18,14,716,730,1,7,0,0,1,4,2,14,3,12,3,9,3,15,38,246,-31.9273,-25.1293,0,0,-32.0987,-9.85682,-63.2222,-54.1554,-75.5647,-40.5225,-75.0412,-27.6001,-55.278,-67.08,-777.26,-948.216,1.15486141663
29,4785,49,1625,3229,3148,3078,2270,81816,110,2,273,482,419,428,346,23871,246.079,22.31,948.98,2437.25,2904.35,3011.28,2255.21,81809.2,48,1,86,99,74,73,51,2210,0.0019447,0,0,2,4,1,4,1,28,5,0,1,5,3,10,8,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31377,6.38741,0.0692932,0.0701014,2.44367,2.47217,5.64255,5.70836,6.35904,6.43321,6.83142,6.9111,5.43227,5.49563,409.25,414.023,7921090,0.00781659,0.0117941,0,0,0,0,0,0,0,0,0,0,2,4,1,4,1,28,51,61,0,2,145,151,253,259,242,198,219,223,183,173,13127,13126,20,19,0,0,21,28,36,35,26,21,38,27,18,16,774,792,2,7,0,0,3,6,0,13,2,13,5,12,2,14,45,234,-23.9122,-12.2501,0,0,-35.8838,-9.93692,0,-50.0438,-43.754,-49.491,-79.1521,-23.9353,-63.3378,-70.957,-980.061,-841.286,1.75978882534096
30,4785,49,1625,3228,3149,3078,2270,81816,114,6,270,473,423,431,349,23778,235.999,21.1126,944.14,2428.16,2902.44,3010.46,2255,81809.2,42,4,82,111,74,80,50,2350,0.00202608,0,0,0,1,3,1,2,12,4,0,4,7,8,4,3,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96868,7.88173,0.0874926,0.0865378,3.08544,3.05177,7.12216,7.04444,8.02897,7.94135,8.62837,8.53421,6.85904,6.78419,516.737,511.098,9531660,0.00916276,0.0147246,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,12,58,58,3,4,140,152,248,256,245,200,214,230,188,173,13047,13068,17,10,1,4,22,31,34,39,34,22,27,25,24,16,843,845,1,6,1,1,5,8,4,15,2,12,8,15,0,9,52,245,-32.061,-17.9513,-31.4513,0.101211,-119.268,-13.6158,-47.9047,-41.0902,-43.7387,-42.5375,-174.765,-23.1114,0,-40.6901,-1085.19,-865.635,1.64980202375715
31,4785,49,1625,3229,3147,3080,2269,81816,127,10,271,482,420,433,347,23924,230.559,19.8333,938.683,2421.85,2898.14,3011.7,2253.83,81809.1,35,2,93,114,83,82,55,2602,0.00214747,1,1,0,3,1,2,1,28,1,0,6,5,9,4,9,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0151,9.92353,0.109915,0.10891,3.87623,3.84077,8.94733,8.8655,10.0867,9.99446,10.8433,10.7441,8.61324,8.53446,649.167,643.23,11264200,0.010904,0.0185146,0,0,0,0,0,0,0,0,1,1,0,3,1,2,1,28,63,66,6,4,141,154,254,261,235,208,218,230,186,171,13150,13118,18,14,2,0,24,36,39,37,37,20,30,32,22,21,917,948,0,6,0,0,2,8,5,16,4,13,5,15,2,9,41,227,0,-22.7513,0,0,-63.5839,-12.37,-138.878,-52.3112,-68.0718,-34.6068,-139.044,-29.619,-24.1396,-27.4402,-1072.06,-804.807,1.86977562692477
32,4785,49,1625,3230,3147,3080,2268,81816,136,6,275,492,440,444,348,24295,230.893,18.5049,932.87,2416.72,2896.18,3011.14,2252.68,81809.1,42,5,100,115,84,78,65,2859,0.00230861,2,0,3,0,3,2,2,39,3,0,3,7,8,10,7,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6464,12.6533,0.138881,0.138956,4.89765,4.90032,11.3089,11.3151,12.741,12.7479,13.7054,13.7129,10.8783,10.8843,820.238,820.686,13042300,0.0131628,0.0235075,0,0,0,0,0,0,0,0,2,0,3,0,3,2,2,40,68,70,3,3,140,159,259,266,239,226,223,237,191,166,13375,13320,18,13,1,1,26,38,42,37,34,28,28,32,25,27,1011,1082,1,7,0,0,1,9,4,18,4,12,3,14,3,11,40,232,-12.1284,-27.1272,0,0,-11.8622,-18.0797,-67.4958,-55.165,-107.663,-27.4779,-55.8675,-22.269,-75.8215,-35.3371,-723.022,-787.061,2.08974923009239
33,4785,49,1625,3231,3146,3079,2269,81816,148,8,278,500,443,451,349,24944,237.714,17.168,926.657,2412.85,2893.74,3009.69,2253.55,81809,36,5,103,126,98,92,66,3175,0.00259553,4,0,1,5,1,1,5,57,6,0,3,9,9,12,8,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8933,16.0554,0.174428,0.176208,6.15125,6.21401,14.2083,14.3533,15.9974,16.1606,17.2135,17.3891,13.6626,13.802,1030.18,1040.69,14765800,0.0160984,0.0296669,0,0,0,0,0,0,0,0,4,0,1,5,1,1,5,57,75,74,6,3,146,157,261,274,242,227,230,236,196,164,13770,13701,13,14,3,1,22,32,48,51,46,28,36,41,31,23,1147,1205,3,8,0,1,3,10,3,18,5,16,4,16,3,11,67,254,-55.2755,-24.5867,0,-6.38264,-55.169,-22.0693,-75.4239,-62.1345,-98.9926,-35.0511,-87.4671,-32.1411,-55.5908,-33.3558,-1367.3,-806.845,2.58468983721953
34,4785,49,1625,3232,3147,3075,2271,81816,159,7,289,516,464,479,366,25833,252.072,15.8716,920.423,2410.92,2893.77,3005.53,2255.45,81809,42,1,100,135,108,111,68,3628,0.00295978,1,0,0,2,4,1,2,43,4,0,3,10,17,11,10,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9679,20.1561,0.219146,0.221212,7.72816,7.80099,17.8566,18.0249,20.0991,20.2885,21.5984,21.8019,17.18,17.3419,1294.29,1306.49,16319600,0.0199158,0.0372583,0,0,0,0,0,0,0,0,1,0,0,2,4,1,2,43,81,79,3,4,155,160,266,289,248,244,245,253,205,176,14285,14224,18,17,2,0,25,38,48,49,44,37,36,45,34,28,1295,1429,4,9,1,1,3,12,6,19,4,18,3,16,7,16,96,295,-67.5352,-20.6941,-31.4593,0.0932134,-75.2693,-36.862,-91.4348,-42.0835,-106.791,-54.3282,-75.1198,-42.9871,-123.171,-32.1785,-1939.35,-851.813,3.02463704355477
35,4785,49,1625,3231,3149,3074,2272,81815,186,8,297,542,488,495,376,26973,275.063,14.6723,914.319,2409.35,2895.42,3004.53,2256.42,81808.1,42,2,110,148,116,130,85,4182,0.00342883,1,0,0,2,4,3,2,59,4,0,9,13,9,21,7,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1861,25.2667,0.276415,0.2773,9.74782,9.77902,22.5232,22.5953,25.3678,25.449,27.2251,27.3122,21.689,21.7584,1632.52,1637.74,17586500,0.0248733,0.0468494,0,0,0,0,0,0,0,0,1,0,0,2,4,3,2,59,96,93,5,3,153,168,284,301,256,265,256,261,209,185,14923,14950,18,20,2,0,28,46,59,62,46,41,42,64,36,32,1552,1644,4,9,0,0,1,13,7,21,5,22,2,17,7,16,100,318,-107.746,-26.9052,0,0,-31.9626,-47.1688,-182.726,-55.9645,-79.7968,-66.7142,-43.6258,-55.3177,-182.481,-27.0284,-2347.37,-905.519,3.46439373109706
36,4785,49,1625,3230,3150,3074,2271,81816,220,7,318,576,537,534,400,28378,308.287,13.6319,908.974,2410.37,2897.02,3004.75,2255.47,81809.1,53,5,125,169,130,138,97,4927,0.00396139,0,0,2,4,8,3,3,66,10,0,5,17,9,23,14,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8152,31.8567,0.34917,0.349625,12.3136,12.3296,28.4421,28.4792,32.0546,32.0963,34.3909,34.4357,27.3849,27.4205,2062.2,2064.89,18464100,0.0312883,0.0591244,0,0,0,0,0,0,0,0,0,0,2,4,8,3,3,67,115,110,1,6,163,181,305,315,285,287,282,280,220,202,15812,15811,21,22,1,3,40,53,59,66,40,57,59,68,47,35,1919,1916,2,10,0,0,0,11,4,21,8,23,4,18,2,18,104,357,-44.2703,-33.7241,0,0,0,-40.3141,-87.2494,-55.1742,-174.876,-55.8367,-67.8581,-58.21,-43.344,-47.9791,-2133.08,-945.057,4.28948526176859
37,4785,49,1625,3231,3150,3073,2271,81816,276,7,325,636,586,595,432,30134,352.974,12.8099,904.72,2416.16,2898.89,3004.33,2255.59,81809.2,64,1,115,174,132,174,122,5816,0.00475081,4,0,4,9,8,5,4,86,16,0,11,16,21,23,13,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9194,40.1767,0.438389,0.441214,15.4599,15.5596,35.7095,35.9397,40.2587,40.5182,43.1649,43.4431,34.3824,34.604,2589.13,2605.82,18880000,0.0395364,0.0744224,0,0,0,0,0,0,0,0,4,0,4,9,8,5,4,87,152,130,4,3,165,189,339,343,314,314,309,322,245,214,16941,16915,23,28,0,1,40,50,65,73,54,58,66,73,59,47,2267,2228,1,6,0,0,2,12,6,25,12,30,6,20,4,20,126,399,-31.9713,-16.9907,0,0,-23.4782,-38.9934,-111.658,-69.9588,-221.911,-60.8834,-131.039,-62.5194,-67.7184,-58.9285,-2716.2,-998.001,5.4993400791905
38,4785,49,1625,3231,3151,3073,2270,81816,328,3,340,679,634,646,475,32113,410.031,12.2553,902.239,2424.53,2902.8,3005.23,2254.8,81809.3,72,2,118,203,164,186,143,6891,0.00565915,3,0,2,7,5,7,4,85,18,0,14,26,21,24,22,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8268,50.0159,0.546961,0.549037,19.2887,19.3619,44.5529,44.7221,50.2461,50.4368,53.8565,54.061,42.8797,43.0424,3230.39,3242.65,18802900,0.0500403,0.0927314,0,0,0,0,0,0,0,0,3,0,2,7,5,7,4,85,178,159,2,1,178,197,355,376,335,350,335,352,270,237,18235,18197,32,31,2,0,43,45,66,94,55,76,74,89,66,50,2777,2782,4,9,0,0,6,15,13,33,16,36,8,23,7,24,152,467,-47.701,-10.907,0,0,-111.524,-40.4894,-234.51,-73.7789,-348.971,-63.3759,-154.402,-58.8112,-143.287,-72.47,-3154.59,-1130.86,6.87417509898812
39,4785,49,1625,3230,3151,3074,2270,81816,388,8,368,727,702,705,517,34308,479.921,12.0045,901.88,2435.69,2906.91,3007.43,2255.08,81809.5,84,2,133,227,205,212,157,8286,0.00689128,2,0,1,8,3,4,6,126,7,0,9,32,30,32,22,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.452,61.7126,0.674574,0.677434,23.7892,23.8901,54.9296,55.1626,61.9668,62.2296,66.4423,66.724,52.8836,53.1079,3984.07,4000.97,18247100,0.0632414,0.114392,0,0,0,0,0,0,0,0,2,0,1,8,3,4,6,126,203,198,2,6,193,209,378,409,373,384,374,385,300,254,19722,19644,40,40,0,2,44,56,95,91,86,97,93,102,74,77,3341,3291,6,10,1,2,6,17,16,39,13,39,12,31,8,25,171,532,-150.275,-14.3575,-11.6482,-1.11453,-151.163,-50.9016,-369.169,-87.3636,-313.259,-79.5798,-242.131,-74.21,-174.517,-67.9721,-3781.03,-1299.67,7.25912890453146
40,4785,49,1625,3229,3152,3073,2271,81816,469,9,402,794,766,804,576,36887,562.849,12.0773,904.289,2450.66,2913.28,3008.04,2256.45,81809.6,109,4,147,256,244,266,190,9729,0.00833236,5,1,4,13,8,10,9,151,21,1,14,20,42,41,27,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6678,75.6641,0.819819,0.830758,28.9111,29.2968,66.7346,67.6251,75.3087,76.3136,80.7476,81.825,64.2695,65.1271,4841.83,4906.44,17268900,0.0795481,0.139654,0,0,0,0,0,0,0,0,5,1,4,13,8,11,9,152,246,242,6,4,207,235,410,455,426,406,428,450,334,293,21532,21304,48,45,3,2,47,66,119,105,103,105,110,132,89,82,3957,4012,4,12,0,0,4,18,15,47,8,40,11,32,9,28,212,638,-86.9494,-21.2276,0,0,-106.342,-49.7536,-317.304,-112.995,-194.311,-99.1425,-269.994,-71.9455,-186.77,-64.8122,-4255.55,-1490.8,9.12890453145623
41,4785,49,1625,3229,3153,3074,2269,81816,571,8,425,873,837,880,647,39571,658.065,12.4721,909.495,2470.25,2920.96,3011.01,2254.93,81809.9,128,3,179,290,295,302,227,11446,0.0100822,3,0,8,14,15,16,7,180,21,0,17,49,36,48,40,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.1094,90.889,0.988945,0.997501,34.855,35.1565,80.5016,81.1981,90.9028,91.6892,97.3768,98.2193,77.4957,78.1661,5840.65,5891.18,15956300,0.0992571,0.168071,0,0,0,0,0,0,0,0,3,0,8,14,15,16,7,185,295,297,3,5,227,244,457,495,466,450,476,490,377,333,23421,23217,51,62,2,2,60,70,135,124,124,142,129,148,115,99,4802,4772,6,16,1,1,6,21,21,55,11,47,14,40,14,36,278,760,-111.196,-28.2388,-12.2144,0.338111,-91.5439,-44.1929,-407.267,-105.875,-190.847,-114.284,-246.341,-72.0482,-266.489,-73.356,-5884.48,-1692.77,11.6036075670919
42,4785,49,1626,3229,3151,3074,2270,81816,648,8,446,941,943,983,732,42309,764.277,13.1688,918.862,2493.6,2927,3013.27,2256.45,81810.1,172,2,189,340,345,350,261,13344,0.012165,4,0,10,15,10,15,17,226,33,0,18,41,46,48,36,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.942,107.507,1.17418,1.18038,41.4072,41.626,95.5834,96.0883,107.896,108.466,115.613,116.224,92.0504,92.5367,6934.75,6971.38,14415100,0.122448,0.199217,0,0,0,0,0,0,0,0,4,0,10,15,10,15,17,226,349,327,5,3,239,259,493,538,518,515,539,542,432,374,25449,25155,77,80,1,1,67,84,139,150,146,171,155,163,132,111,5590,5671,7,17,0,1,14,30,25,64,25,62,26,55,16,39,331,926,-162.252,-31.9207,0,-1.54472,-286.927,-56.9802,-535.002,-123.4,-477.054,-118.281,-507.813,-85.2552,-369.071,-74.1554,-7009.01,-2109.34,12.2085349758029
43,4785,49,1626,3230,3148,3075,2271,81816,768,7,477,1023,1041,1091,796,45116,879.037,14.1275,930.458,2520.67,2932.97,3016.76,2258.04,81810.4,200,3,206,388,397,417,298,15533,0.0146786,15,0,4,16,23,19,14,290,41,0,23,58,61,62,43,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.879,125.301,1.35957,1.37517,47.9761,48.5268,110.75,112.021,124.774,126.207,133.906,135.443,106.583,107.806,8029.55,8121.72,12753700,0.148864,0.231384,0,0,0,0,0,0,0,0,15,0,4,16,23,19,14,294,415,392,6,1,262,274,542,586,570,580,592,619,467,419,27540,27208,88,104,2,1,76,83,169,181,172,197,182,180,147,130,6538,6562,7,20,0,0,18,39,28,77,25,70,32,69,23,53,407,1125,-142.131,-34.2353,0,0,-374.1,-65.3655,-591.203,-143.371,-595.084,-152.729,-718.17,-110.375,-413.423,-80.2209,-8503,-2516.88,15.8380994280686
44,4785,49,1626,3229,3148,3076,2271,81816,884,9,515,1118,1119,1172,875,47856,999.352,15.2963,944.92,2548.15,2942.39,3020.46,2258.68,81810.7,244,5,225,460,457,500,337,17786,0.0175775,9,0,6,16,19,19,10,294,45,0,41,74,77,71,52,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.579,142.509,1.54284,1.56403,54.444,55.1917,125.639,127.365,141.592,143.536,152.005,154.092,121.003,122.665,9112.03,9237.18,11071000,0.177798,0.26287,0,0,0,0,0,0,0,0,9,0,6,16,19,19,10,296,480,455,4,6,287,290,609,638,620,629,645,671,522,456,29725,29315,104,117,3,2,90,97,199,204,199,226,234,228,162,150,7619,7563,19,34,0,0,14,41,31,92,33,91,34,86,30,66,517,1376,-305.453,-39.3446,0,0,-365.621,-81.7422,-666.038,-194.593,-591.71,-167.592,-701.873,-139.425,-674.712,-103.691,-10766.5,-2967.89,19.7976242850858
45,4785,49,1626,3228,3151,3075,2270,81816,1000,8,571,1190,1220,1275,972,50434,1122.01,16.6188,961.529,2577.09,2955.18,3022.34,2258.35,81811,295,5,235,506,526,562,411,20210,0.0205497,8,0,10,24,24,19,17,358,51,1,29,80,85,85,64,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.253,158.324,1.71486,1.7376,60.5151,61.3174,139.508,141.357,157.527,159.615,168.958,171.198,134.437,136.22,10127.9,10262.1,9447620,0.208021,0.29211,0,0,0,0,0,0,0,0,8,0,10,25,24,19,17,360,556,517,6,2,322,324,665,668,690,694,704,737,585,531,31779,31443,122,129,3,0,104,110,231,228,233,266,279,270,199,183,8799,8822,22,38,1,2,10,43,31,101,41,106,40,107,24,76,582,1608,-521.097,-39.7362,-31.5203,-5.17803,-198.15,-82.7149,-667.098,-209.477,-944.298,-211.309,-872.522,-191.179,-562.611,-139.927,-12759.2,-3444.4,21.7223933128025
46,4785,49,1625,3230,3148,3077,2270,81816,1067,20,594,1280,1312,1338,1051,52832,1243.94,18.0398,979.334,2609.51,2962.44,3027.17,2259.02,81811.3,355,10,259,572,593,654,464,22666,0.024049,22,0,13,25,41,27,18,380,54,0,35,75,87,93,74,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.103,172.856,1.85629,1.89748,65.462,66.9148,151.151,154.505,170.358,174.139,182.947,187.007,145.46,148.688,10962.9,11206.2,7942250,0.237795,0.317603,0,0,0,0,0,0,0,0,22,0,13,25,41,27,18,384,611,552,15,7,342,330,717,732,767,741,773,782,645,580,33799,33568,165,161,8,3,121,120,255,255,275,293,314,309,233,216,10045,9879,14,43,1,1,14,51,39,122,44,131,38,122,27,91,652,1922,-327.037,-67.0543,-31.9556,-0.403071,-266.24,-110.7,-781.205,-262.061,-901.562,-261.129,-829.466,-239.035,-539.312,-181.012,-13714.7,-4191.66,22.9872415310163
47,4785,49,1625,3230,3148,3078,2269,81816,1148,22,623,1379,1389,1407,1103,54967,1361.78,19.5043,998.776,2640.12,2972.48,3031,2258.69,81811.6,397,10,293,652,666,716,540,25192,0.0278808,18,1,21,33,32,43,24,446,60,1,50,86,107,113,84,2266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.14,184.284,1.95548,2.02293,68.8782,71.2541,159.177,164.668,179.401,185.589,192.787,199.437,153.168,158.452,11549,11947.4,6591350,0.264993,0.33661,0,0,0,0,0,0,0,0,18,1,21,33,32,43,24,449,656,598,14,14,362,356,781,792,807,793,833,817,685,624,35728,35504,197,182,8,3,140,142,299,311,298,345,359,354,278,249,11366,11125,28,65,0,0,22,62,47,146,65,165,46,146,36,111,737,2244,-457.086,-90.949,0,0,-442.067,-131.735,-994.809,-332.381,-1271.95,-303.668,-905.438,-294.546,-786.071,-239.692,-16003.4,-5090.02,27.5516937967444
48,4785,49,1626,3230,3146,3079,2269,81816,1222,13,677,1455,1454,1482,1157,57018,1472.62,20.9642,1019.45,2670.13,2980.29,3034.73,2259.34,81811.8,475,6,329,688,714,777,586,27359,0.031857,20,1,18,37,37,25,36,508,96,1,55,114,100,102,91,2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.731,190.506,2.0173,2.0917,71.1403,73.7638,164.209,170.264,185.011,191.834,198.945,206.282,158.079,163.909,11914,12353.3,5411950,0.287341,0.347659,0,0,0,0,0,0,0,0,20,1,18,37,37,25,36,509,702,642,9,5,393,393,836,846,852,833,875,882,731,671,37549,37368,227,214,3,3,166,152,328,319,351,356,375,385,322,282,12535,12278,40,80,0,0,33,81,59,177,72,190,70,181,42,138,828,2622,-918.663,-126.311,0,0,-631.564,-161.999,-1195.86,-397.932,-1671.96,-365.163,-1390.18,-344.777,-857.597,-314.848,-17570.1,-6109.69,30.7413110426749
49,4785,49,1625,3230,3147,3079,2269,81816,1317,19,688,1522,1526,1549,1209,58660,1574.38,22.3833,1038.5,2698.85,2990.5,3037.34,2259.95,81812.1,515,7,354,758,776,841,648,29683,0.0360557,28,0,16,40,38,42,25,531,73,1,44,119,120,127,96,2506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.125,191.969,2.04315,2.10731,72.0126,74.2739,166.31,171.532,187.376,193.26,201.558,207.887,160.035,165.06,12066.7,12445.6,4405820,0.302747,0.351167,0,0,0,0,0,0,0,0,28,0,16,40,38,42,25,534,759,696,14,12,409,394,870,911,909,878,934,938,770,705,39236,38986,255,228,6,5,166,162,383,347,394,378,413,432,335,318,13614,13383,35,93,1,2,37,92,74,211,66,214,68,202,61,169,955,3049,-757.501,-160.403,-32.0693,-6.23842,-816.517,-179.671,-1593.55,-458.92,-1362.18,-425.037,-1662.61,-422.306,-1221.96,-368.78,-20450,-7301.15,31.8961724593049
